,id,address,categories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,average_price,GDP
651,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,14,14,USD,2016-09-26T00:46:09Z,,Chicken Parmigiana Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,14,47658
652,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,15,15,USD,2016-09-26T00:46:09Z,,Eggplant Rollatini Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,15,47658
653,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,15,15,USD,2016-09-26T00:46:09Z,,Everything Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,15,47658
654,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,15,15,USD,2016-09-26T00:46:09Z,"Chicken cutlet, vodka sauce",Grilled Chicken Vodka Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,15,47658
655,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,14,14,USD,2016-09-26T00:46:09Z,,Hawaiian Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,14,47658
656,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,14,14,USD,2016-09-26T00:46:09Z,,Italian Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,14,47658
657,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,14,14,USD,2016-09-26T00:46:09Z,,Margherita Pizza,7 Day 24 Hours Emergency Locks,7086,,,,NJ,14,47658
658,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,7.95,7.95,USD,2016-09-26T00:46:09Z,"Mozzarella, tomato sauce",Pizza Burger,7 Day 24 Hours Emergency Locks,7086,,,,NJ,7.95,47658
659,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,7.5,7.5,USD,2016-09-26T00:46:09Z,,Pizza Steak,7 Day 24 Hours Emergency Locks,7086,,,,NJ,7.5,47658
660,AVwckqSbByjofQCxfxZ4,3502 Park Ave,Locks & Locksmiths,Weehawken,US,us/nj/weehawken/3502parkave/948686367,40.771072,-74.02265,,17,17,USD,2016-09-26T00:46:09Z,,Shrimp Pizza Marinara,7 Day 24 Hours Emergency Locks,7086,,,,NJ,17,47658
